timestamp,temperature,pressure,humidity
2026-08-01 00:00:00,26.4,1010.2,82
2026-08-01 01:00:00,26.1,1009.8,84
2026-08-01 02:00:00,25.8,1009.5,85
2026-08-01 03:00:00,25.5,1009.1,86
2026-08-01 04:00:00,25.3,1008.9,87
2026-08-01 05:00:00,25.4,1009.2,86
2026-08-01 06:00:00,26.0,1009.7,84
2026-08-01 07:00:00,27.2,1010.4,80
2026-08-01 08:00:00,28.8,1011.0,76
2026-08-01 09:00:00,30.1,1011.4,72
2026-08-01 10:00:00,31.5,1011.2,68
2026-08-01 11:00:00,32.4,1010.8,65
2026-08-01 12:00:00,33.0,1010.2,64
2026-08-01 13:00:00,33.2,1009.6,63
2026-08-01 14:00:00,32.8,1009.2,65
2026-08-01 15:00:00,32.0,1009.0,68
2026-08-01 16:00:00,30.8,1009.3,72
2026-08-01 17:00:00,29.5,1009.8,76
2026-08-01 18:00:00,28.4,1010.3,79
2026-08-01 19:00:00,27.8,1010.7,81
2026-08-01 20:00:00,27.3,1010.9,82
2026-08-01 21:00:00,27.0,1010.8,83
2026-08-01 22:00:00,26.8,1010.5,83
2026-08-01 23:00:00,26.5,1010.1,84
2026-08-02 00:00:00,26.2,1009.7,85
2026-08-02 01:00:00,25.9,1009.4,85
2026-08-02 02:00:00,25.6,1009.1,86
2026-08-02 03:00:00,25.4,1008.8,87
2026-08-02 04:00:00,-999,1008.6,88
2026-08-02 05:00:00,25.5,1008.9,87
2026-08-02 06:00:00,26.1,1009.4,85
2026-08-02 07:00:00,27.4,1010.1,81
2026-08-02 08:00:00,28.9,1010.7,77
2026-08-02 09:00:00,30.3,1011.1,73
2026-08-02 10:00:00,31.7,1010.9,69
2026-08-02 11:00:00,32.6,1010.5,66
2026-08-02 12:00:00,33.1,1009.9,65
2026-08-02 13:00:00,33.4,1009.3,64
2026-08-02 14:00:00,32.9,1008.9,66
2026-08-02 15:00:00,32.1,1008.7,69
2026-08-02 16:00:00,30.9,1009.0,73
2026-08-02 17:00:00,29.6,1009.5,77
2026-08-02 18:00:00,28.5,1010.0,80
2026-08-02 19:00:00,27.9,1010.4,82
2026-08-02 20:00:00,27.4,1010.6,83
2026-08-02 21:00:00,27.1,1010.5,84
2026-08-02 22:00:00,26.9,1010.2,84
2026-08-02 23:00:00,26.6,1009.8,85
