Date_Time,Temp_C,Pres_hPa,Hum_pct
2026-08-01 00:00:00,17.2,870.5,94
2026-08-01 01:00:00,16.9,870.2,95
2026-08-01 02:00:00,16.7,869.9,96
2026-08-01 03:00:00,16.5,869.7,96
2026-08-01 04:00:00,16.4,869.5,97
2026-08-01 05:00:00,16.6,869.8,96
2026-08-01 06:00:00,17.0,870.3,95
2026-08-01 07:00:00,17.8,870.9,92
2026-08-01 08:00:00,18.9,871.4,89
2026-08-01 09:00:00,20.1,871.8,86
2026-08-01 10:00:00,21.0,871.5,84
2026-08-01 11:00:00,21.6,871.0,83
2026-08-01 12:00:00,22.0,870.4,82
2026-08-01 13:00:00,22.1,869.8,83
2026-08-01 14:00:00,21.7,869.4,85
2026-08-01 15:00:00,21.0,869.2,88
2026-08-01 16:00:00,20.1,869.6,90
2026-08-01 17:00:00,19.2,870.1,92
2026-08-01 18:00:00,18.4,870.6,94
2026-08-01 19:00:00,17.9,870.9,95
2026-08-01 20:00:00,17.6,871.1,95
2026-08-01 21:00:00,17.4,871.0,96
2026-08-01 22:00:00,17.2,870.7,96
2026-08-01 23:00:00,17.0,870.3,96
2026-08-02 00:00:00,16.8,869.9,97
2026-08-02 01:00:00,16.6,869.6,97
2026-08-02 02:00:00,16.4,869.3,98
2026-08-02 03:00:00,16.2,869.0,98
2026-08-02 04:00:00,16.1,868.8,98
2026-08-02 05:00:00,16.3,869.1,97
2026-08-02 06:00:00,16.8,869.6,96
2026-08-02 07:00:00,17.6,870.2,93
2026-08-02 08:00:00,18.7,870.8,90
2026-08-02 09:00:00,19.9,871.2,87
2026-08-02 10:00:00,20.8,870.9,85
2026-08-02 11:00:00,21.4,870.4,84
2026-08-02 12:00:00,21.9,869.8,83
2026-08-02 13:00:00,22.0,869.2,84
2026-08-02 14:00:00,21.6,868.8,86
2026-08-02 15:00:00,20.9,868.6,89
2026-08-02 16:00:00,20.0,869.0,91
2026-08-02 17:00:00,19.1,869.5,93
2026-08-02 18:00:00,18.3,870.0,95
2026-08-02 19:00:00,17.8,870.4,96
2026-08-02 20:00:00,17.5,870.6,96
2026-08-02 21:00:00,17.3,870.5,97
2026-08-02 22:00:00,17.1,870.2,97
2026-08-02 23:00:00,16.9,869.8,98
